id,name,rubys,imageURL,affiliateURL,bust,cup,waist,hip,height,birthday,blood_type,hobby,prefectures
1078407,九野ひなの,くのひなの,http://pics.dmm.co.jp/mono/actjpgs/kuno_hinano.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1078407%2F&af_id=avzeus-999&ch=api,90,G,60,88,157,2001-05-25,A,NoData,福岡県
1052247,永井マリア,ながいまりあ,http://pics.dmm.co.jp/mono/actjpgs/nagai_maria2.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1052247%2F&af_id=avzeus-999&ch=api,89,G,58,95,159,NoData,NoData,NoData,NoData
1044864,河北彩花,かわきたさいか,http://pics.dmm.co.jp/mono/actjpgs/kawakita_saika.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1044864%2F&af_id=avzeus-999&ch=api,87,E,57,86,169,NoData,NoData,映画鑑賞,NoData
1053420,竹内有紀,たけうちゆき,http://pics.dmm.co.jp/mono/actjpgs/takeuti_yuki2.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1053420%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1072127,石川澪,いしかわみお,http://pics.dmm.co.jp/mono/actjpgs/isikawa_mio.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1072127%2F&af_id=avzeus-999&ch=api,82,B,58,86,158,NoData,NoData,音楽鑑賞、チアダンス,NoData
1032266,向井藍,むかいあい,http://pics.dmm.co.jp/mono/actjpgs/mukai_ai.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1032266%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1075464,宮下玲奈,みやしたれな,http://pics.dmm.co.jp/mono/actjpgs/miyasita_rena2.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1075464%2F&af_id=avzeus-999&ch=api,83,G,57,85,NoData,NoData,NoData,NoData,NoData
1033976,羽咲みはる,うさみはる,http://pics.dmm.co.jp/mono/actjpgs/usa_miharu.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1033976%2F&af_id=avzeus-999&ch=api,86,F,59,84,NoData,1992-03-03,A,NoData,NoData
1078405,美城るる,みしろるる,http://pics.dmm.co.jp/mono/actjpgs/misiro_ruru.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1078405%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
1050318,今井夏帆,いまいかほ,http://pics.dmm.co.jp/mono/actjpgs/imai_kaho.jpg,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Flist%2F%3D%2Farticle%3Dactress%2Fid%3D1050318%2F&af_id=avzeus-999&ch=api,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData
